feature_number,ecoNetConsensus,net_act,Day_CCA,Day_Dictyota,Day_Pocillopora verrucosa,Day_Porites lobata,Day_Turf,Night_CCA,Night_Dictyota,Night_Pocillopora verrucosa,Night_Porites lobata,Night_Turf,Daysum,Nightsum,DayNight_night,activity_night,DayNight_day,activity_day
10370,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,247,NA,6.045697055895915,NA,NA,NA,NA,NA,NA,NA,NA,6.045697055895915,0,Night,recalcitrant,Day,recalcitrant
10371,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",10,NA,NA,NA,NA,NA,NA,NA,2.5327125203065872,NA,NA,0,2.5327125203065872,Night,recalcitrant,Day,depletolite
10372,NA,-10372,NA,6.590921031930078,NA,NA,NA,NA,NA,NA,NA,NA,6.590921031930078,0,Night,recalcitrant,Day,recalcitrant
10375,Organoheterocyclic compounds;Heteroaromatic compounds,5642,NA,6.001577895158967,NA,NA,NA,NA,5.820756289047965,NA,NA,NA,6.001577895158967,5.820756289047965,Night,recalcitrant,Day,recalcitrant
10376,NA,-10376,NA,3.186396273641185,NA,NA,NA,NA,NA,2.4596717193327464,NA,NA,3.186396273641185,2.4596717193327464,Night,recalcitrant,Day,recalcitrant
10377,NA,2506,NA,NA,NA,NA,NA,NA,5.703050156304743,2.8725169097707144,NA,NA,0,8.575567066075457,Night,recalcitrant,Day,recalcitrant
10378,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,4884,NA,5.5576935227058435,NA,NA,NA,NA,0,NA,NA,NA,5.5576935227058435,0,Night,recalcitrant,Day,recalcitrant
10383,NA,-10383,NA,NA,NA,NA,NA,NA,NA,5.69553331794977,2.531640884370337,NA,0,8.227174202320107,Night,recalcitrant,Day,recalcitrant
10384,NA,1063,NA,6.487733928230621,NA,NA,NA,NA,NA,NA,NA,NA,6.487733928230621,0,NA,NA,Day,depletolite
10385,NA,-10385,NA,6.033616797509852,NA,NA,NA,NA,NA,NA,NA,NA,6.033616797509852,0,Night,recalcitrant,Day,recalcitrant
10386,Lipids and lipid-like molecules;Fatty Acyls;Eicosanoids,808,NA,NA,NA,NA,NA,NA,NA,4.956519978346659,NA,NA,0,4.956519978346659,Night,recalcitrant,NA,NA
10393,NA,-10393,NA,6.5622284781800175,NA,NA,NA,NA,NA,NA,NA,NA,6.5622284781800175,0,Night,recalcitrant,Day,recalcitrant
10395,NA,1921,NA,5.955849483190204,NA,NA,NA,NA,NA,NA,NA,NA,5.955849483190204,0,NA,NA,Day,depletolite
10396,Lipids and lipid-like molecules;Glycerophospholipids;Glycerophosphoethanolamines,343,NA,6.4062819881632755,NA,NA,NA,NA,NA,NA,NA,NA,6.4062819881632755,0,Night,depletolite,Day,depletolite
10399,NA,19,NA,6.196340564597662,NA,NA,NA,NA,5.1621816061448484,NA,NA,NA,6.196340564597662,5.1621816061448484,Night,recalcitrant,Day,recalcitrant
10412,NA,-10412,NA,6.321027912744631,NA,NA,NA,NA,NA,NA,NA,NA,6.321027912744631,0,NA,NA,Day,recalcitrant
10419,Lipids and lipid-like molecules,222,6.69149272452998,6.302149647148607,NA,NA,NA,NA,NA,NA,NA,NA,12.993642371678586,0,Night,recalcitrant,Day,recalcitrant
10420,NA,-10420,NA,6.168132013063988,NA,NA,NA,NA,NA,NA,NA,NA,6.168132013063988,0,NA,NA,Day,recalcitrant
10422,NA,537,NA,6.910479134474471,6.829256132236467,6.947865065674523,NA,NA,NA,NA,NA,NA,20.68760033238546,0,Night,recalcitrant,Day,recalcitrant
10423,NA,-10423,NA,NA,NA,5.549033479662773,NA,NA,NA,6.072594738199575,NA,NA,5.549033479662773,6.072594738199575,Night,recalcitrant,Day,depletolite
10426,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",805,NA,6.311016164153386,NA,NA,NA,NA,NA,NA,NA,NA,6.311016164153386,0,NA,NA,Day,recalcitrant
10431,Lipids and lipid-like molecules;Prenol lipids;Sesquiterpenoids,1246,NA,7.104667950809275,NA,NA,NA,NA,NA,NA,NA,NA,7.104667950809275,0,Night,recalcitrant,Day,recalcitrant
10433,NA,-10433,NA,5.7199471593628015,NA,NA,NA,NA,NA,NA,NA,NA,5.7199471593628015,0,NA,NA,Day,recalcitrant
10435,Organic acids and derivatives,1433,NA,3.4101298608273707,7.147739198150158,NA,NA,NA,5.645970684902499,6.226985327862996,NA,NA,10.557869058977529,11.872956012765496,Night,recalcitrant,Day,recalcitrant
10436,NA,-10436,NA,NA,NA,NA,NA,NA,NA,4.87841678768341,NA,NA,0,4.87841678768341,Night,recalcitrant,NA,NA
10438,NA,-10438,NA,5.867929753407996,NA,NA,NA,NA,NA,NA,NA,NA,5.867929753407996,0,NA,NA,Day,recalcitrant
