feature_number,network,activity,num_features,DayNight.x,NOSC,quadrant,combined_ID,binary_ID,min_nosc,max_nosc,C,H,N,O,P,nc,pc,min_log2,max_log2,molnet_string,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,Water control,num_organism,CCA_produced,Dictyota_produced,Pocillopora verrucosa_produced,Porites lobata_produced,Turf_produced,dorcierr,unique_organism,DayNight.y
10155,17,recalcitrant,40,NA,-1.0434782608695654,NA,N-Oleoyltaurine,1,-1.0434782608695654,-1.0434782608695654,23,35,1,4,0,0.043478260869565216,0,-12.08886740934995,8.164215769091067,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,no,yes,no,no,yes,Pocillopora verrucosa,Day
10752,17,recalcitrant,40,NA,-2.0999999999999996,NA,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,-2.0999999999999996,-2.0999999999999996,10,29,4,3,2,0.4,0.2,-15.471132147349733,11.570922542350724,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,yes,no,no,no,yes,Dictyota,Day
11169,17,recalcitrant,40,NA,-0.9523809523809526,NA,N-Oleoyltaurine,2,-0.9523809523809526,-0.9523809523809526,21,31,1,4,0,0.047619047619047616,0,-15.082861859224812,7.907439376266087,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,no,yes,no,no,yes,NA,NA
11263,17,recalcitrant,40,NA,-0.9523809523809526,NA,N-Oleoyltaurine,2,-0.9523809523809526,-0.9523809523809526,21,31,1,4,0,0.047619047619047616,0,-13.43726489031301,8.195790998989537,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,no,yes,no,no,yes,Pocillopora verrucosa,Day
12387,17,recalcitrant,40,NA,-2.2222222222222223,NA,cis-9-Hexadecenoic acid,2,-2.2222222222222223,-2.2222222222222223,18,39,1,3,2,0.05555555555555555,0.1111111111111111,-11.424219535390819,7.29835105312469,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,no,yes,no,no,yes,Pocillopora verrucosa,Day
13469,17,recalcitrant,40,NA,-2.3076923076923075,NA,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,-2.3076923076923075,-2.3076923076923075,13,31,1,4,2,0.07692307692307693,0.15384615384615385,-11.012991563273903,6.641724280148018,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dictyota,Day
14442,17,recalcitrant,40,NA,-1.875,NA,N-3-Hydroxyoctanoyl-L-homoserine lactone,2,-1.875,-1.875,8,21,4,2,2,0.5,0.25,-8.192486367567456,9.46894405306105,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,2,yes,no,no,yes,no,yes,NA,NA
14615,17,recalcitrant,40,NA,-2.2222222222222223,NA,N-Oleoyltaurine,2,-2.2222222222222223,-2.2222222222222223,18,37,1,2,2,0.05555555555555555,0.1111111111111111,-15.078607762995725,1.4221423799518984,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,no,yes,no,no,yes,NA,NA
14621,17,recalcitrant,40,NA,-2.2222222222222223,NA,N-Oleoyltaurine,2,-2.2222222222222223,-2.2222222222222223,18,37,1,2,2,0.05555555555555555,0.1111111111111111,-13.430445105825557,7.400373813800889,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,1,no,no,yes,no,no,yes,NA,NA
14690,17,recalcitrant,40,NA,-0.5555555555555554,NA,"N-(1,1-Dimethyl-2-hydroxyethyl)-3-amino-2-hydroxypropanesulfonic acid",2,-0.5555555555555554,-0.5555555555555554,18,25,1,6,0,0.05555555555555555,0,-11.398162268140275,5.090014660961766,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dictyota,Day
